t,X_true,Y_true,yaw_true,v_true,omega_true
0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.0,0.0
0.19,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.0,0.0
0.23,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0
0.27,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0,0.0
0.29,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0
0.31,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0,0.0
0.37,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0
0.49,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0
0.53,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0
0.71,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0,0.0
0.93,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0,0.0
0.97,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.01,0.0,0.0,0.0,0.0,0.0
1.02,0.0,0.0,0.0,0.0,0.0
1.03,0.0,0.0,0.0,0.0,0.0
1.04,0.0,0.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0,0.0,0.0
1.06,0.0,0.0,0.0,0.0,0.0
1.07,0.0,0.0,0.0,0.0,0.0
1.08,0.0,0.0,0.0,0.0,0.0
1.09,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0
1.11,0.0,0.0,0.0,0.0,0.0
1.12,0.0,0.0,0.0,0.0,0.0
1.1300000000000001,0.0,0.0,0.0,0.0,0.0
1.1400000000000001,0.0,0.0,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0,0.0,0.0
1.16,0.0,0.0,0.0,0.0,0.0
1.17,0.0,0.0,0.0,0.0,0.0
1.18,0.0,0.0,0.0,0.0,0.0
1.19,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0
1.21,0.0,0.0,0.0,0.0,0.0
1.22,0.0,0.0,0.0,0.0,0.0
1.23,0.0,0.0,0.0,0.0,0.0
1.24,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0
1.26,0.0,0.0,0.0,0.0,0.0
1.27,0.0,0.0,0.0,0.0,0.0
1.28,0.0,0.0,0.0,0.0,0.0
1.29,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0
1.31,0.0,0.0,0.0,0.0,0.0
1.32,0.0,0.0,0.0,0.0,0.0
1.33,0.0,0.0,0.0,0.0,0.0
1.34,0.0,0.0,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0
1.36,0.0,0.0,0.0,0.0,0.0
1.37,0.0,0.0,0.0,0.0,0.0
1.3800000000000001,0.0,0.0,0.0,0.0,0.0
1.3900000000000001,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0
1.41,0.0,0.0,0.0,0.0,0.0
1.42,0.0,0.0,0.0,0.0,0.0
1.43,0.0,0.0,0.0,0.0,0.0
1.44,0.0,0.0,0.0,0.0,0.0
1.45,0.0,0.0,0.0,0.0,0.0
1.46,0.0,0.0,0.0,0.0,0.0
1.47,0.0,0.0,0.0,0.0,0.0
1.48,0.0,0.0,0.0,0.0,0.0
1.49,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
1.51,0.0,0.0,0.0,0.0,0.0
1.52,0.0,0.0,0.0,0.0,0.0
1.53,0.0,0.0,0.0,0.0,0.0
1.54,0.0,0.0,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0,0.0
1.56,0.0,0.0,0.0,0.0,0.0
1.57,0.0,0.0,0.0,0.0,0.0
1.58,0.0,0.0,0.0,0.0,0.0
1.59,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0
1.61,0.0,0.0,0.0,0.0,0.0
1.62,0.0,0.0,0.0,0.0,0.0
1.6300000000000001,0.0,0.0,0.0,0.0,0.0
1.6400000000000001,0.0,0.0,0.0,0.0,0.0
1.6500000000000001,0.0,0.0,0.0,0.0,0.0
1.6600000000000001,0.0,0.0,0.0,0.0,0.0
1.67,0.0,0.0,0.0,0.0,0.0
1.68,0.0,0.0,0.0,0.0,0.0
1.69,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0
1.71,0.0,0.0,0.0,0.0,0.0
1.72,0.0,0.0,0.0,0.0,0.0
1.73,0.0,0.0,0.0,0.0,0.0
1.74,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0
1.76,0.0,0.0,0.0,0.0,0.0
1.77,0.0,0.0,0.0,0.0,0.0
1.78,0.0,0.0,0.0,0.0,0.0
1.79,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0
1.81,0.0,0.0,0.0,0.0,0.0
1.82,0.0,0.0,0.0,0.0,0.0
1.83,0.0,0.0,0.0,0.0,0.0
1.84,0.0,0.0,0.0,0.0,0.0
1.85,0.0,0.0,0.0,0.0,0.0
1.86,0.0,0.0,0.0,0.0,0.0
1.87,0.0,0.0,0.0,0.0,0.0
1.8800000000000001,0.0,0.0,0.0,0.0,0.0
1.8900000000000001,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0,0.0
1.9100000000000001,0.0,0.0,0.0,0.0,0.0
1.92,0.0,0.0,0.0,0.0,0.0
1.93,0.0,0.0,0.0,0.0,0.0
1.94,0.0,0.0,0.0,0.0,0.0
1.95,0.0,0.0,0.0,0.0,0.0
1.96,0.0,0.0,0.0,0.0,0.0
1.97,0.0,0.0,0.0,0.0,0.0
1.98,0.0,0.0,0.0,0.0,0.0
1.99,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.0100000000000002,0.0,0.0,0.0,0.001000000000000023,0.0
2.02,1.000000000000023e-05,0.0,0.0,0.0020000000000000018,0.0
2.0300000000000002,3.0000000000000248e-05,0.0,0.0,0.0030000000000000248,0.0
2.04,6.0000000000000496e-05,0.0,0.0,0.0040000000000000036,0.0
2.05,0.00010000000000000053,0.0,0.0,0.004999999999999982,0.0
2.06,0.00015000000000000034,0.0,0.0,0.006000000000000005,0.0
2.07,0.0002100000000000004,0.0,0.0,0.0069999999999999845,0.0
2.08,0.00028000000000000025,0.0,0.0,0.008000000000000007,0.0
2.09,0.0003600000000000003,0.0,0.0,0.008999999999999985,0.0
2.1,0.00045000000000000015,0.0,0.0,0.010000000000000009,0.0
2.11,0.0005500000000000002,0.0,0.0,0.010999999999999987,0.0
2.12,0.0006600000000000001,0.0,0.0,0.01200000000000001,0.0
2.13,0.0007800000000000002,0.0,0.0,0.012999999999999989,0.0
2.14,0.0009100000000000001,0.0,0.0,0.014000000000000012,0.0
2.15,0.0010500000000000002,0.0,0.0,0.01499999999999999,0.0
2.16,0.0012000000000000001,0.0,0.0,0.016000000000000014,0.0
2.17,0.0013600000000000003,0.0,0.0,0.01699999999999999,0.0
2.18,0.0015300000000000001,0.0,0.0,0.018000000000000016,0.0
2.19,0.0017100000000000004,0.0,0.0,0.018999999999999993,0.0
2.2,0.0019000000000000002,0.0,0.0,0.020000000000000018,0.0
2.21,0.0021000000000000003,0.0,0.0,0.020999999999999994,0.0
2.22,0.0023100000000000004,0.0,0.0,0.02200000000000002,0.0
2.23,0.0025300000000000006,0.0,0.0,0.022999999999999996,0.0
2.24,0.0027600000000000003,0.0,0.0,0.02400000000000002,0.0
2.25,0.0030000000000000005,0.0,0.0,0.024999999999999998,0.0
2.2600000000000002,0.0032500000000000003,0.0,0.0,0.026000000000000023,0.0
2.27,0.0035100000000000005,0.0,0.0,0.027,0.0
2.2800000000000002,0.0037800000000000004,0.0,0.0,0.028000000000000025,0.0
2.29,0.00406,0.0,0.0,0.029,0.0
2.3000000000000003,0.004350000000000001,0.0,0.0,0.030000000000000027,0.0
2.31,0.0046500000000000005,0.0,0.0,0.031000000000000003,0.0
2.32,0.004960000000000001,0.0,0.0,0.03199999999999998,0.0
2.33,0.005280000000000001,0.0,0.0,0.03300000000000001,0.0
2.34,0.005610000000000001,0.0,0.0,0.03399999999999998,0.0
2.35,0.005950000000000001,0.0,0.0,0.03500000000000001,0.0
2.36,0.006300000000000002,0.0,0.0,0.03599999999999998,0.0
2.37,0.006660000000000002,0.0,0.0,0.03700000000000001,0.0
2.38,0.0070300000000000015,0.0,0.0,0.037999999999999985,0.0
2.39,0.007410000000000002,0.0,0.0,0.039000000000000014,0.0
2.4,0.007800000000000001,0.0,0.0,0.03999999999999999,0.0
2.41,0.0082,0.0,0.0,0.041000000000000016,0.0
2.42,0.008610000000000001,0.0,0.0,0.04199999999999999,0.0
2.43,0.009030000000000002,0.0,0.0,0.04300000000000001,0.0
2.44,0.009460000000000001,0.0,0.0,0.04399999999999999,0.0
2.45,0.0099,0.0,0.0,0.04500000000000001,0.0
2.46,0.010350000000000002,0.0,0.0,0.04599999999999999,0.0
2.47,0.010810000000000002,0.0,0.0,0.047000000000000014,0.0
2.48,0.011280000000000002,0.0,0.0,0.047999999999999994,0.0
2.49,0.011760000000000001,0.0,0.0,0.049000000000000016,0.0
2.5,0.012250000000000002,0.0,0.0,0.049999999999999996,0.0
2.5100000000000002,0.012750000000000003,0.0,0.0,0.05100000000000002,0.0
2.52,0.013260000000000003,0.0,0.0,0.052,0.0
2.5300000000000002,0.013780000000000002,0.0,0.0,0.05300000000000002,0.0
2.54,0.014310000000000003,0.0,0.0,0.054,0.0
2.5500000000000003,0.014850000000000004,0.0,0.0,0.05500000000000002,0.0
2.56,0.015400000000000004,0.0,0.0,0.056,0.0
2.57,0.015960000000000005,0.0,0.0,0.05699999999999999,0.0
2.58,0.016530000000000006,0.0,0.0,0.058,0.0
2.59,0.017110000000000007,0.0,0.0,0.05899999999999999,0.0
2.6,0.017700000000000007,0.0,0.0,0.060000000000000005,0.0
2.61,0.018300000000000007,0.0,0.0,0.06099999999999999,0.0
2.62,0.018910000000000007,0.0,0.0,0.062000000000000006,0.0
2.63,0.019530000000000006,0.0,0.0,0.06299999999999999,0.0
2.64,0.020160000000000004,0.0,0.0,0.06400000000000002,0.0
2.65,0.020800000000000006,0.0,0.0,0.06499999999999999,0.0
2.66,0.021450000000000007,0.0,0.0,0.06600000000000002,0.0
2.67,0.022110000000000008,0.0,0.0,0.06699999999999999,0.0
2.68,0.02278000000000001,0.0,0.0,0.06800000000000002,0.0
2.69,0.02346000000000001,0.0,0.0,0.06899999999999999,0.0
2.7,0.02415000000000001,0.0,0.0,0.07000000000000002,0.0
2.71,0.024850000000000007,0.0,0.0,0.071,0.0
2.72,0.025560000000000006,0.0,0.0,0.07200000000000002,0.0
2.73,0.026280000000000008,0.0,0.0,0.073,0.0
2.74,0.02701000000000001,0.0,0.0,0.07400000000000002,0.0
2.75,0.02775000000000001,0.0,0.0,0.075,0.0
2.7600000000000002,0.02850000000000001,0.0,0.0,0.07600000000000003,0.0
2.77,0.02926000000000001,0.0,0.0,0.077,0.0
2.7800000000000002,0.03003000000000001,0.0,0.0,0.07800000000000003,0.0
2.79,0.03081000000000001,0.0,0.0,0.079,0.0
2.8000000000000003,0.03160000000000001,0.0,0.0,0.08000000000000003,0.0
2.81,0.03240000000000001,0.0,0.0,0.081,0.0
2.82,0.03321000000000001,0.0,0.0,0.08199999999999998,0.0
2.83,0.03403000000000001,0.0,0.0,0.083,0.0
2.84,0.03486000000000001,0.0,0.0,0.08399999999999998,0.0
2.85,0.03570000000000001,0.0,0.0,0.085,0.0
2.86,0.03655000000000001,0.0,0.0,0.08599999999999998,0.0
2.87,0.03741000000000001,0.0,0.0,0.08700000000000001,0.0
2.88,0.038280000000000015,0.0,0.0,0.08799999999999998,0.0
2.89,0.039160000000000014,0.0,0.0,0.08900000000000001,0.0
2.9,0.040050000000000016,0.0,0.0,0.08999999999999998,0.0
2.91,0.040950000000000014,0.0,0.0,0.09100000000000001,0.0
2.92,0.041860000000000015,0.0,0.0,0.09199999999999998,0.0
2.93,0.04278000000000001,0.0,0.0,0.09300000000000001,0.0
2.94,0.04371000000000001,0.0,0.0,0.09399999999999999,0.0
2.95,0.04465000000000001,0.0,0.0,0.09500000000000001,0.0
2.96,0.04560000000000001,0.0,0.0,0.09599999999999999,0.0
2.97,0.04656000000000001,0.0,0.0,0.09700000000000002,0.0
2.98,0.04753000000000001,0.0,0.0,0.09799999999999999,0.0
2.99,0.04851000000000001,0.0,0.0,0.09900000000000002,0.0
3.0,0.04950000000000001,0.0,0.0,0.09999999999999999,0.0
3.0100000000000002,0.05050000000000001,0.0,0.0,0.10100000000000002,0.0
3.02,0.05151000000000001,0.0,0.0,0.102,0.0
3.0300000000000002,0.05253000000000001,0.0,0.0,0.10300000000000002,0.0
3.04,0.05356000000000001,0.0,0.0,0.104,0.0
3.0500000000000003,0.05460000000000001,0.0,0.0,0.10500000000000002,0.0
3.06,0.05565000000000001,0.0,0.0,0.106,0.0
3.0700000000000003,0.05671000000000001,0.0,0.0,0.10700000000000003,0.0
3.08,0.05778000000000001,0.0,0.0,0.108,0.0
3.09,0.05886000000000001,0.0,0.0,0.10899999999999999,0.0
3.1,0.05995000000000001,0.0,0.0,0.11,0.0
3.11,0.06105000000000001,0.0,0.0,0.11099999999999999,0.0
3.12,0.06216000000000001,0.0,0.0,0.112,0.0
3.13,0.06328,0.0,0.0,0.11299999999999999,0.0
3.14,0.06441000000000001,0.0,0.0,0.114,0.0
3.15,0.06555000000000001,0.0,0.0,0.11499999999999999,0.0
3.16,0.06670000000000001,0.0,0.0,0.116,0.0
3.17,0.06786,0.0,0.0,0.11699999999999999,0.0
3.18,0.06903000000000001,0.0,0.0,0.11800000000000001,0.0
3.19,0.07021000000000001,0.0,0.0,0.119,0.0
3.2,0.0714,0.0,0.0,0.12000000000000001,0.0
3.21,0.07260000000000001,0.0,0.0,0.121,0.0
3.22,0.07381000000000001,0.0,0.0,0.12200000000000001,0.0
3.23,0.07503000000000001,0.0,0.0,0.123,0.0
3.24,0.07626000000000001,0.0,0.0,0.12400000000000001,0.0
3.25,0.07750000000000001,0.0,0.0,0.125,0.0
3.2600000000000002,0.07875000000000001,0.0,0.0,0.12600000000000003,0.0
3.27,0.08001000000000001,0.0,0.0,0.127,0.0
3.2800000000000002,0.08128,0.0,0.0,0.12800000000000003,0.0
3.29,0.08256000000000001,0.0,0.0,0.129,0.0
3.3000000000000003,0.08385000000000001,0.0,0.0,0.13000000000000003,0.0
3.31,0.08515,0.0,0.0,0.131,0.0
3.3200000000000003,0.08646000000000001,0.0,0.0,0.13200000000000003,0.0
