t,X,Y,yaw,vx,vyaw,bias
0.0,0.0,0.0,0.0,-2.230311403499673e-05,-1.8043552111811723e-05,0.0
0.0,0.0,0.0,0.0,-2.230311403499673e-05,-1.7245288595947912e-05,0.007991734271620277
0.01,-4.1068015882039933e-07,0.0,-9.971974469635205e-08,-0.004969953735902181,0.0014464935088032644,0.007984507210683956
0.02,-4.4567648769621225e-05,7.033263848713603e-12,3.6713977003854913e-06,0.0031254996744763857,-0.0009189919824607383,0.007989761067612936
0.02,-4.45676487696209e-05,1.0312237721310322e-11,2.1811955912554687e-05,0.0031254996744763857,0.0031439716509502704,0.009003838012359731
0.03,-1.2889510352954877e-05,5.191306964099365e-10,3.425627809211388e-05,0.003703578794612864,-0.001174768069766847,0.009657295774224401
0.04,1.4389526487484378e-05,1.89404679966331e-09,5.280556546033229e-05,-0.009566647484998985,0.0028808037102681316,0.009338915263246485
0.04,1.4389526488702248e-05,1.8535960034428521e-09,3.835642495028163e-05,-0.009566647484998985,-8.651623153469986e-05,0.009003801727957417
0.05,-7.51094141849273e-05,-5.2878421003292345e-09,0.00012825374285609645,-0.0011806869801507438,0.012579041147803735,0.00709908321888702
0.06,-8.603499444367232e-05,-5.598881093261037e-09,0.00020418815394093837,1.7572398879851445e-05,0.00701527916169204,0.00753585305001975
0.06,-8.603499447008406e-05,-5.112253153012251e-09,0.00023095679573072026,1.7572398879851445e-05,0.01400829962005639,0.008187988646957762
0.07,-8.89429737474679e-05,-3.945002941929991e-09,0.00030070572887446633,-0.004175228016513312,0.006427794394039463,0.009251228788378515
0.08,-0.00012531242297397728,-1.6888073482797185e-08,0.0004258103765462891,0.003143610155961731,0.012491510382708564,0.008808682020955706
0.08,-0.00012531242288156845,-1.7495921391790565e-08,0.0004179485865884179,0.003143610155961731,0.009585195370135476,0.008563029794724907
0.09,-9.651933572607466e-05,-6.56305693341165e-09,0.0005718513026310243,-0.0004499975773362163,0.014835235663611494,0.007877143844484765
0.1,-0.0001015399567047478,-6.803402069697166e-09,0.0005106185612622832,-0.001157901023919015,-0.004360401995433142,0.009177460071295503
0.1,-0.00010153995669322803,-6.967070523877043e-09,0.0005089558100332147,-0.001157901023919015,-0.005327026676884427,0.009102201286097244
0.11,-0.00010682670154390258,-1.1986816142775583e-08,0.0005363842164143919,0.007397463559501919,0.0010776884658896336,0.0083196212092627
0.12,-3.6359972801151965e-05,2.6877550031365233e-08,0.0005896203276337989,0.0026279041177512813,0.004712382795934054,0.008090061946458482
0.12,-3.635997363474022e-05,2.7452450222649232e-08,0.0005834159758707331,0.0026279041177512813,-0.0023947619063427244,0.007576773393807252
0.13,-9.477099299761048e-06,3.9802599115629934e-08,0.00048695087389117643,0.003448917126531279,-0.007591647629814565,0.008173135326877193
0.14,2.707803718440285e-05,6.337438422216982e-08,0.0005339251896574773,0.00625794631240711,0.002360941933436703,0.007584416996631139
0.14,2.707803713857146e-05,6.344178638701928e-08,0.0005339051891031263,0.00625794631240711,0.002217560253517898,0.007574759904355629
0.15,8.386365754006438e-05,1.0158419702336461e-07,0.0006259806876464857,-0.0016197151453464951,0.006830601203209019,0.007075757798645683
0.16,6.95093697327537e-05,8.898760434708423e-08,0.0006317332912066027,0.0008859533022668284,0.001994270978891961,0.0073447761590729015
0.16,6.950936605071036e-05,9.509231830876466e-08,0.0006355919728625066,0.0008859533022668284,-0.005701949118797858,0.006859150116436953
0.17,7.42770181441256e-05,1.0229323733410941e-07,0.0006251651840633868,-0.004677624781736309,-0.002829616771466353,0.0065652961806004105
0.18,3.38483320409864e-05,7.663986488363178e-08,0.0005823563192812814,0.003952914719026835,-0.0039082698213530895,0.006621919098552499
0.18,3.384833519292318e-05,7.12852203543452e-08,0.0005720160771852574,0.003952914719026835,0.005791028484156492,0.007197591691893325
0.19,7.158770075862024e-05,9.454246273782639e-08,0.000651454706986824,0.0015194229543147929,0.007044152570295707,0.007075985726761265
0.2,8.537470922339463e-05,1.0278436338457424e-07,0.0007091964206337871,-0.00039392136474773786,0.006131769187984153,0.0071213289940036655
0.2,8.53747075916317e-05,1.0556319717957771e-07,0.0007144655854299135,-0.00039392136474773786,0.002770137574581372,0.006932992722327541
0.21,7.853955793538264e-05,9.90200230636969e-08,0.0007204200584847362,-0.004331424708101215,0.0015649505712662635,0.007044225502484346
0.22,4.110361877564148e-05,6.963390230413762e-08,0.0006245784066692602,0.003661083841176806,-0.006211380049906156,0.007411146263660296
0.22,4.110362010974144e-05,6.698362833362044e-08,0.0006139038652847569,0.003661083841176806,-0.0009152894767595629,0.007692114902865843
0.23,7.47234674237371e-05,8.842178482271306e-08,0.0006167888443276614,-0.0004056496040208959,-0.0002759427794703272,0.007635858017127908
0.24,6.715300481674771e-05,8.009489900047138e-08,0.0005266920762591953,-0.0051834676702933805,-0.00621126063467721,0.007902432588678522
0.24,6.715300747938897e-05,7.501780368740111e-08,0.0005083221434769517,-0.0051834676702933805,0.0013844390032794335,0.008285096087074457
0.25,1.4943849892610784e-05,4.693993962160401e-08,0.00040714584878780483,-0.005692646193643542,-0.0045012409756976495,0.00877991358007205
0.26,-3.5720599966910886e-05,2.5643908949955644e-08,0.00038693320316367355,0.0028215795651940377,-0.0028542653978623437,0.008709338846663599
0.26,-3.572060053392585e-05,2.790868487081439e-08,0.00035684536634415315,0.0028215795651940377,0.007958218603505918,0.009227934577150505
0.27,-1.425127498054775e-05,3.735194522066398e-08,0.00010178070492932964,-0.006351349988489537,-0.00861208929449904,0.010561620842177263
0.28,-7.208312139179301e-05,3.060731228518529e-08,3.647122831637973e-05,0.0013737886336472292,-0.007258108262016394,0.010506147864863489
0.28,-7.208312160053396e-05,3.245259858945536e-08,2.6494526080873093e-05,0.0013737886336472292,-0.004053829646813439,0.01065280105578287
0.29,-5.938812424114992e-05,3.603173351161405e-08,-8.750454172668977e-05,-4.418926994496138e-05,-0.00758641083841867,0.010925499849541422
0.3,-5.237463544895949e-05,3.695630364239362e-08,-0.00021232088090077387,0.010092624127676291,-0.010712952470447852,0.01104820996588771
0.3,-5.237463569945359e-05,3.889528096767e-08,-0.0002249892312771582,0.010092624127676291,-0.007003807531220214,0.011210542872973739
0.31,3.970046314281779e-05,1.931429727322756e-08,-0.0002690095169535768,-0.0019419524553204344,-0.005785043786267662,0.011120155403317683
0.32,2.1928255633352767e-05,2.6973834233337113e-08,-0.00017401713615817628,0.00029784133799123534,0.003815450301510393,0.01075855558131451
0.32,2.1928255007717536e-05,2.6267761280473e-08,-0.00018408924745068377,0.00029784133799123534,0.006543552365409598,0.01087294881421196
0.33,2.2096894815835482e-05,2.6543371405056202e-08,-0.0001074300848798569,-0.0035225066540024792,0.007057023575766206,0.010836307091567066
0.34,-9.144369475090211e-06,3.045036695246346e-08,-0.00012672933795262605,0.0018941264914695637,0.0014968886945180273,0.011037609342623867
0.34,-9.144369661701508e-06,3.0450752407680206e-08,-0.00013044859261553214,0.0018941264914695637,0.0024393641970377315,0.011075539405423905
0.35,1.251497518350852e-05,2.6960127146083033e-08,-0.00016179621334037916,0.005589803187888664,-5.66847579892716e-05,0.011247175036476636
0.36,6.334270063022767e-05,1.6965074884034613e-08,-0.0001998965365806107,-0.0013041076267942377,-0.0023469991769005803,0.011327000834570434
0.36,6.334270189290459e-05,1.9733939950916767e-08,-0.00018174413713768675,-0.0013041076267942377,-0.006688791705297965,0.011159018872621702
0.37,5.1531672792225074e-05,3.2767267808545816e-08,-8.104997817231499e-06,0.00036833590130693405,0.003873643157022098,0.01045822247996495
0.38,5.1049473693190255e-05,3.149765349844494e-08,-8.264265567279099e-06,-0.005295422326595203,0.0015300283725310044,0.010536968269755318
0.38,5.104947497429627e-05,3.4373401293696424e-08,1.2500891082886327e-05,-0.005295422326595203,-0.0031915110840404423,0.010361090876707944
0.39,3.757383823850399e-06,3.380023652576617e-08,-4.250023378071019e-05,0.002403174973580234,-0.004187363739343724,0.010424922412195151
0.4,2.972820045010552e-05,3.33716595327533e-08,-4.225342248401816e-05,0.005039653391687819,-0.0016787755251665565,0.010343559110771753
0.4,2.9728200690403807e-05,3.361611810776357e-08,-3.8278007253139036e-05,0.005039653391687819,-0.0025430949456650954,0.010312517911305174
0.41,7.926171802128433e-05,3.3536787653588456e-08,-3.628532332995464e-05,0.003866240110435859,-0.001379371664677822,0.010240373067915925
0.42,0.00011796775643035462,5.4009535998336576e-08,0.00024695271168822955,0.0039255654992238235,0.01612241939702915,0.009691759806207224
0.42,0.0001179677604668682,6.957547456487981e-08,0.00031056264502528325,0.0039255654992238235,0.0028343930164589706,0.009231052722534943
0.43,0.0001533905952911462,6.374769509757764e-08,0.00020697057935773662,-0.0012857773492211746,-0.0026803332845968843,0.009562081240103413
0.44,0.00013869652900845686,4.8091818007593855e-08,2.526797246290392e-05,-0.003782516718091415,-0.011717236419789875,0.009836162830182738
0.44,0.00013869652946304069,5.161790091900007e-08,3.6860353220310405e-05,-0.003782516718091415,-0.01405347778717507,0.00975787281604577
0.45,0.00010179332107904831,4.54484064316071e-08,-0.00016771062336606992,-0.0025289613559214144,-0.01669294235175358,0.009911434988879503
0.46,8.153327512160141e-05,5.129052454067756e-08,-0.00026769250211756577,0.0043095590813945345,-0.01282299332240712,0.00979775021115938
0.46,8.153327553372501e-05,5.3419930964512316e-08,-0.00025432341366877077,0.0043095590813945345,-0.015431290109094166,0.009713171806300583
0.47,0.0001232293385101617,5.3828369062348996e-08,-0.0002877735332975386,0.0024066700625146936,-0.010513703938750226,0.009435608714268672
0.48,0.00014732854447360692,4.6188825790279276e-08,-0.00040150964226291357,0.002450867982506909,-0.01100653687591874,0.009449645431430119
0.48,0.00014732854435228838,4.566838354962169e-08,-0.0004034129282706693,0.002450867982506909,-0.010645994100872027,0.009460970255812096
0.49,0.00016788669678159386,2.6756986560197947e-08,-0.0005923133242618208,-0.002920515416604497,-0.013960065469928382,0.009642606666002331
0.5,0.00014295513201500004,5.0977921797977537e-08,-0.0005991231262439425,0.0028901216923224726,-0.0064101270594577415,0.009433925147459414
0.5,0.00014295513304038757,5.6310080306109824e-08,-0.0005788536574704476,0.0028901216923224726,-0.010147843754634716,0.009320088177277112
0.51,0.0001685991556305804,2.0842279283376363e-08,-0.0008477471243919485,-0.0015385546207323138,-0.01680258048399231,0.009674551220459564
0.52,0.00015362584685074652,6.436185588915953e-08,-0.0006162608912781065,-0.0009780651717496707,0.005742774402137572,0.009069273386168846
0.52,0.00015362585014622429,8.114816329853328e-08,-0.0005550349269047724,-0.0009780651717496707,-0.005272152254161286,0.008743687815410633
0.53,0.0001499772304241554,1.2341337742301348e-07,-0.00018522256437110874,0.007359428283337011,0.01134784804104312,0.007882659488727146
0.54,0.00021830598061516203,1.1510980041073549e-07,-3.703652684420954e-05,0.00020007417782145782,0.01329279121053774,0.00783189939076948
0.54,0.00021830598347975837,1.3205307769796768e-07,8.065281380966668e-06,0.00020007417782145782,0.0053609583477096205,0.007604156667454211
0.55,0.0002200496281825944,1.509348655421681e-07,0.00018177519709067187,-0.0001494956982770967,0.0100386814022155,0.007368274129758142
0.56,0.00021700413890535748,1.411621059075059e-07,0.00019964258703686452,-0.0022576964266690755,0.0054448001046437985,0.007484915880969414
0.56,0.00021700414132549913,1.5547578295179508e-07,0.00023763243776670124,-0.0022576964266690755,-0.0010975313248348419,0.007302295084864065
0.5700000000000001,0.000195295337965005,9.773424507977389e-08,-0.00018111262479331394,-0.001077273489385675,-0.016833276494653146,0.008075215440847671
0.58,0.00018209991535248838,1.1088785650032161e-07,-0.00022240158351443903,-0.004371318343045475,-0.009804392100433006,0.007901458552561663
0.58,0.0001820999123342352,9.77012850303906e-08,-0.00026674719266817277,-0.004371318343045475,-0.002314629123790506,0.008104868455201536
0.59,0.00014111325998260383,8.978383548317138e-08,-0.000536346667011985,-0.0006641488668556587,-0.011742781287011752,0.008556262153859049
0.6,0.00012819043667963787,1.0142014501264374e-07,-0.0005583930456981504,-0.009204656523642852,-0.0064963964467708735,0.008429904087713004
0.6,0.0001281904376662427,1.064124912316092e-07,-0.0005310757830973848,-0.009204656523642852,-0.011027480686593986,0.0083100883315531
0.61,4.5436107228251645e-05,1.4602722425098926e-07,-0.00031250010826639016,0.0034296576616646545,0.0014500215894071578,0.00772742373033137
0.62,7.832062359111091e-05,1.3584709055084733e-07,-0.0002930795948216556,0.001509732574249558,0.0017191702446049443,0.0077211037964165395
0.62,7.832062212682786e-05,1.3767999821429274e-07,-0.0002584605297631371,0.001509732574249558,-0.003927090180531086,0.007575629853305649
0.63,9.446254599201675e-05,1.3341834789994286e-07,-0.0003001703364943799,0.0029300356207915463,-0.004018914970233034,0.0075798147034806685
0.64,0.00012262121813858267,1.2030299811113166e-07,-0.0004405636791494157,0.0013777301298516203,-0.009471732284255008,0.007704723981232045
0.64,0.00012262121935691033,1.1227412084940188e-07,-0.0005020529233960799,0.0013777301298516203,0.0004002636280559073,0.00795271220942697
0.65,0.00013679008388765932,9.616106742209625e-08,-0.0006251611958621615,0.0019101268302800364,-0.004350532199186546,0.008164143654349316
0.66,0.00015590816643173792,9.631239748331145e-08,-0.0004838136598581546,0.0019329915660811741,0.005659023502533891,0.007940320721974974
0.66,0.0001559081666799926,9.906869291694932e-08,-0.000469589654655025,0.0019329915660811741,0.003408823391924303,0.00788517345134474
0.67,0.0001728491046948699,9.467136232876724e-08,-0.0004008100962159359,-0.0013152134098255717,0.004696452886605397,0.007829182246308776
0.68,0.00016358680338154905,9.400656548873986e-08,-0.000421171970392265,0.0039736516373113685,0.0010678639463643914,0.007908431249713757
0.68,0.00016358680464585346,1.0321374709601581e-07,-0.0003765934515966789,0.0039736516373113685,-0.005887357151085413,0.007742031627898432
0.6900000000000001,0.00019976742027830104,9.402372940896558e-08,-0.0003993770683482824,-0.0008611760137704223,-0.004556602953187598,0.007685461926580125
0.7000000000000001,0.0001882636169109315,1.1037585651932693e-07,-0.00030383118386828,-0.0047933871469460175,0.0030148918601681394,0.007523861453778661
0.7000000000000001,0.00018826361773673997,1.1468901540020175e-07,-0.00028711532510835555,-0.0047933871469460175,0.00044060384428454887,0.007463704414217796
0.71,0.0001381464434507457,1.2652849734037443e-07,-0.00032139922272444164,-0.007761947537520685,-0.0009771285225132636,0.007522650997388365
0.72,5.960903700597845e-05,1.5279693981545948e-07,-0.00045568471702853944,-0.009010032811054107,-0.007629811473305121,0.007661483371513761
0.72,5.96090395675147e-05,1.4959089265468562e-07,-0.0005785832705746905,-0.009010032811054107,0.011065989456384328,0.00808845524733994
0.73,-2.381151534337283e-05,2.121116457835008e-07,-0.000637818564829172,7.218070072557287e-05,0.004877356009375514,0.00834025140258266
0.74,-2.2711022027487547e-05,2.1379324010793006e-07,-0.0006284339372841475,0.0005870647583241655,0.0027813153348723915,0.008383041620000224
0.74,-2.27110254751312e-05,2.0923249753416344e-07,-0.000600423981763879,0.0005870647583241655,-0.0014305703606184049,0.008288985966989229
0.75,-1.8524545995996713e-05,2.2448867892956264e-07,-0.0008679014119947572,-0.0017028548930447872,-0.010600573398066714,0.008654257984307374
0.76,-3.538024941023841e-05,2.319852332820744e-07,-0.0008624399224921842,-0.0014678442253465932,-0.004691739978882281,0.00853619712034781
0.76,-3.538025200460426e-05,2.2861523487080124e-07,-0.0008443367347557388,-0.0014678442253465932,-0.007384262991771331,0.008477375340769472
0.77,-4.859617726970951e-05,2.3659048420289765e-07,-0.0008851476726065409,0.0005206843092551011,-0.006194281499313717,0.00843094798552826
0.78,-4.7039907753476995e-05,2.5593073238649817e-07,-0.0012564103571433122,-0.004442889823851987,-0.022531095556807566,0.008750565653130381
0.78,-4.703989214577591e-05,2.760513238184692e-07,-0.0013556853592427219,-0.004442889823851987,-0.007918213435248823,0.009063024602002204
0.79,-9.106036438865233e-05,3.396851321711275e-07,-0.0014653627505872974,-0.003887627898982386,-0.00901117138827458,0.009104808632929557
0.8,-0.00012541359423226496,3.8418472248301103e-07,-0.001507940640934549,0.0022621571340248016,-0.006509454703350141,0.009056862644014644
0.8,-0.00012541358598900602,3.92069088747843e-07,-0.0015307919130649642,0.0022621571340248016,-0.0031787991856285854,0.009126599819419889
0.81,-0.0001049334289129578,3.38523891147056e-07,-0.0014010668905132574,-0.0006493839873095821,0.00258143267858772,0.008910726538052027
0.8200000000000001,-0.00011424677309557569,3.6373197488067736e-07,-0.0014897083352677072,-0.004482991364901645,-0.0034222138378852706,0.009023488810915173
0.8200000000000001,-0.0001142467745241547,3.6231703288970754e-07,-0.0014852441707800912,-0.004482991364901645,-0.004066823786442055,0.009010266718517897
0.8300000000000001,-0.00015648599292122575,4.070952786565081e-07,-0.001426719454406577,-0.0009605526051064397,-0.00054581144734032,0.008880861901134771
0.84,-0.00016580676385708707,3.806965062145126e-07,-0.0011502411252014271,-0.000573333079270023,0.014195382290784209,0.008609410274791864
0.84,-0.00016580680709008002,3.4216476618111043e-07,-0.0010554405161447259,-0.000573333079270023,0.0006277620616737343,0.008336664075876004
0.85,-0.00016842679105017426,3.381941698421799e-07,-0.001013885456484779,0.0036597805705467635,0.0018743562123644448,0.008291717429672198
0.86,-0.000135551645094841,3.00850272422596e-07,-0.000959282628708267,-0.0014017562495149817,0.0037435096215120344,0.008257958745057567
0.86,-0.00013555168447733717,2.664541687414257e-07,-0.0008608751133628709,-0.0014017562495149817,-0.010221475765859762,0.00798271122684971
0.87,-0.00014958923510328324,2.783692601418143e-07,-0.0009620594306275952,-0.0014289402022418874,-0.01018522027455156,0.007981428322012157
0.88,-0.00016321949049819182,3.0192064035748135e-07,-0.0011427207913136338,-0.000532746706327296,-0.014281002887601243,0.008054009076204644
0.88,-0.00016321947954942787,3.117165012223932e-07,-0.0011683148578408597,-0.000532746706327296,-0.010678186327668907,0.008123659250777225
0.89,-0.00016621404866818787,3.0232070110863597e-07,-0.0012025223902064673,0.0026392272249251276,-0.008135262175814225,0.008035319582300696
0.9,-0.0001397778944484834,2.716959422943881e-07,-0.0012942438499432155,0.002698916198833258,-0.008672613364954116,0.008044665973323071
0.9,-0.00013977788275438101,2.8226819817485145e-07,-0.0013252166517686477,0.002698916198833258,-0.004346148381916931,0.008126733848889867
0.91,-0.00011349507868918966,2.312835258914825e-07,-0.001240412061186723,0.0017385614985118765,0.00013029987193822687,0.007974010526223763
0.92,-9.792777575806496e-05,2.0637503548548825e-07,-0.0011693891623806708,-0.0007337076343442506,0.0037336049865141006,0.007912473101935756
0.92,-9.792778622756233e-05,1.9636295067268008e-07,-0.0011293598730568728,-0.0007337076343442506,-0.0018168544179130168,0.007809129020860272
0.93,-0.00010317159357451161,1.865397083758707e-07,-0.0010119705056784614,0.0021124524571258206,0.0028960186446348487,0.007651168172955243
0.94,-8.692232376151092e-05,1.5540061081770667e-07,-0.0007737401081719962,-0.004516223155170889,0.013683332273012883,0.007470221719589464
0.94,-8.692234950407442e-05,1.3087758942971321e-07,-0.0006598354708301213,-0.004516223155170889,-0.0019996829091852887,0.007183504400353686
0.95,-0.00013041631233136038,1.1563783636671985e-07,-0.0003585756572764526,-0.002247895624062688,0.009128285654167869,0.006816974815880442
0.96,-0.0001523278422009862,9.697090854730048e-08,-4.297150306106513e-05,-0.0014763577187700888,0.02066231076992281,0.006626885829940287
0.96,-0.0001523278795942611,5.412490521294183e-08,8.935114311949425e-05,-0.0014763577187700888,0.0025660317172349068,0.006301928061435205
0.97,-0.00016995792641552628,5.1032748901724584e-08,0.0001247324619784863,-0.005373791412637535,0.002901566746485045,0.0062910639742445535
0.98,-0.00022304548004779443,9.333667028393553e-08,-0.00014640226959245474,-0.0044895575480979255,-0.012493950901908187,0.006540434755226475
0.98,-0.00022304546063363034,1.254290380755089e-07,-0.0002194011899251204,-0.0044895575480979255,-0.0025751270032520843,0.0067154401951633165
0.99,-0.000263492155336613,4.518049073386977e-08,0.00011206827738836114,0.0015594868466782714,0.009712935418500268,0.006324212721109255
1.0,-0.00024922718591467984,4.298601226674864e-08,0.00023112773267876068,-0.0002487258379756088,0.010835158706974466,0.00630634220719679
