t,X,Y,yaw
0.0,0.0,0.0,0.0
0.01,-5.3591229534604e-05,0.0,7.835266017134202e-05
0.02,-1.6380289283226574e-05,2.9155761621386637e-09,1.2077334125570012e-05
0.03,2.108066255509436e-05,3.368004594173949e-09,-0.00013216581403279398
0.04,-8.434574273779884e-05,1.7301771351391203e-08,-1.7760813381298952e-05
0.05,-8.998494089222241e-05,1.7401928097442617e-08,0.0004901002085717872
0.06,-8.892792616424795e-05,1.7919971277564033e-08,0.0004435973114149552
0.07,-0.00013376390547519657,-1.969149904013658e-09,0.00027715814058059703
0.08,-9.694497641563876e-05,8.235516273598337e-09,0.0005296553294703069
0.09,-0.0001040879629816846,4.4521950167729605e-09,0.0008393576171577468
0.1,-0.00011618761486593767,-5.703742342256471e-09,0.00039033188052640233
0.11,-3.5920721126584995e-05,2.5626986826210595e-08,0.0005996438221713712
0.12,-1.3149579950194133e-05,3.9281562593029836e-08,0.0007237925833909571
0.13,2.194341738453555e-05,6.468161822835663e-08,0.00048556826761913987
0.14,8.658884608805002e-05,9.607138952040939e-08,0.0007207079877683461
0.15,6.459787038666065e-05,8.022231492948957e-08,0.0009340410301744387
0.16,7.530025743652303e-05,9.021878646195148e-08,0.0008509283410600327
0.17,2.4432150572007573e-05,4.693366222758063e-08,0.0009134633104440518
0.18,7.030883221935714e-05,8.88403393732135e-08,0.0008513435806096819
0.19,8.371328241813649e-05,1.002521347585827e-07,0.000961619531009835
0.2,7.836685265401364e-05,9.511090189150965e-08,0.001003411615201183
0.21,3.2156690116441974e-05,4.8743072499392135e-08,0.000980570810438851
0.22,7.464580532556763e-05,9.040667198828413e-08,0.0007517347962416489
0.23,6.759832693474944e-05,8.510883625820011e-08,0.0007694807517783529
0.24,1.2249696691515931e-05,4.2519122242935585e-08,0.0005799073128416683
0.25,-4.5051244130334695e-05,9.289883902722205e-09,0.0003454023331692371
0.26,-1.0573442889054392e-05,2.119859736758649e-08,0.00035228120491906715
0.27,-8.083340681058454e-05,-3.5526684041545963e-09,-0.0002691954353430464
0.28,-6.141386808463147e-05,-8.780319711924663e-09,-0.0003126168712107384
0.29,-6.289864925191214e-05,-8.316152053855823e-09,-0.0005029772925511975
0.3,4.548296002586811e-05,-6.282964504778859e-08,-0.0006775243885655407
0.31,1.7212301210137e-05,-4.367558128849261e-08,-0.0006957567666239028
0.32,2.1838027771993753e-05,-4.6893962363771644e-08,-0.00045035084948002855
0.33,-1.6196808695931393e-05,-2.9764940292594965e-08,-0.00036304412834572844
0.34,6.728257714065753e-06,-3.8087751410332035e-08,-0.00046823119937067356
0.35,6.534436422208693e-05,-6.553364326877192e-08,-0.0005503599212695632
0.36,4.723298560356972e-05,-5.556586535180135e-08,-0.0006233722642307283
0.37,5.2146385530391206e-05,-5.862874298599275e-08,-0.00023869233623535692
0.38,-4.9733936508747565e-06,-4.499468918903967e-08,-0.00027413299092649793
0.39,2.472048756029503e-05,-5.313476186157961e-08,-0.000348693445108301
0.4,7.705608456885869e-05,-7.138384222391308e-08,-0.00031112302304045193
0.41,0.00011485546668317292,-8.314410063583439e-08,-0.00028664305795853207
0.42,0.00015415475245318387,-9.440896839305966e-08,0.00025412024557964244
